0,100000
1,99202
2,99146
3,99108
4,99080
5,99059
6,99038
7,99019
8,99003
9,98987
10,98971
11,98954
12,98933
13,98911
14,98885
15,98851
16,98801
17,98730
18,98638
19,98519
20,98391
21,98256
22,98112
23,97976
24,97842
25,97709
26,97585
27,97460
28,97335
29,97211
30,97084
31,96960
32,96820
33,96679
34,96527
35,96368
36,96205
37,96022
38,95828
39,95605
40,95388
41,95142
42,94870
43,94587
44,94265
45,93927
46,93568
47,93164
48,92746
49,92258
50,91785
51,91275
52,90729
53,90171
54,89479
55,88813
56,88075
57,87300
58,86433
59,85454
60,84441
61,83366
62,82216
63,80948
64,79578
65,78131
66,76588
67,74924
68,73188
69,71324
70,69408
71,67317
72,65090
73,62719
74,60229
75,57674
76,55001
77,52199
78,49304
79,46345
80,43186
81,39987
82,36796
83,33418
84,30079
85,26789
86,23567
87,20449
88,17472
89,14675
90,12090
91,9748
92,7671
93,5887
94,4394
95,3179
96,2219
97,1507
98,992
99,632
100,388
101,230
102,131
103,72
104,38
105,20
106,10
107,5
108,2
109,1
110,0
